# Zini Age Mini  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00800 2.51e+07 2.0999999046    2.100  1.400  4.0306  4.435    0  0.000  0.537     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.417e-03 3.870e-04 3.516e-03 -1.000 8.000e-03 1.270 1.464 1.639 1.679 1.704 1.738 1.809 1.833 1.848
0.00800 2.51e+07 2.1500000954    2.149  1.440  4.0382  4.435    0  0.000  0.538     0.00     0.00 -1         0      0.00 7.295e-01 2.625e-01 1.417e-03 3.870e-04 3.515e-03 -1.000 7.992e-03 1.170 1.373 1.571 1.618 1.646 1.683 1.762 1.788 1.806
0.00800 2.51e+07 2.2000000477    2.199  1.479  4.0453  4.435    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.417e-03 3.870e-04 3.516e-03 -1.000 8.000e-03 1.073 1.283 1.504 1.558 1.588 1.629 1.715 1.743 1.762
0.00800 2.51e+07 2.2500000000    2.249  1.516  4.0522  4.434    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.417e-03 3.870e-04 3.515e-03 -1.000 8.000e-03 0.979 1.198 1.440 1.500 1.532 1.575 1.668 1.698 1.719
0.00800 2.51e+07 2.2999999523    2.299  1.554  4.0589  4.433    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.295e-01 2.625e-01 1.417e-03 3.870e-04 3.515e-03 -1.000 7.991e-03 0.885 1.114 1.376 1.442 1.476 1.522 1.622 1.654 1.676
0.00800 2.51e+07 2.3499999046    2.349  1.590  4.0656  4.433    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.295e-01 2.625e-01 1.417e-03 3.870e-04 3.515e-03 -1.000 8.000e-03 0.794 1.034 1.316 1.387 1.423 1.471 1.577 1.611 1.635
0.00800 2.51e+07 2.4000000954    2.400  1.625  4.0716  4.432    1  0.000  0.537     0.00     0.00 -1         0      0.00 7.295e-01 2.625e-01 1.417e-03 3.870e-04 3.515e-03 -1.000 7.972e-03 0.708 0.957 1.258 1.333 1.370 1.420 1.532 1.568 1.593
0.00800 2.51e+07 2.5999999046    2.601  1.757  4.0944  4.425    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.290e-01 2.630e-01 1.420e-03 3.876e-04 3.521e-03 -1.000 8.000e-03 0.377 0.669 1.037 1.127 1.169 1.228 1.360 1.401 1.432
0.00800 2.51e+07 2.7999999523    2.801  1.880  4.1149  4.417    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.290e-01 2.630e-01 1.420e-03 3.876e-04 3.521e-03 -1.000 8.000e-03 0.070 0.408 0.834 0.934 0.982 1.047 1.197 1.243 1.278
0.00800 2.51e+07 3.0000000000    3.001  1.993  4.1329  4.406    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.290e-01 2.630e-01 1.420e-03 3.876e-04 3.521e-03 -1.000 8.000e-03 -0.213 0.173 0.644 0.755 0.806 0.877 1.042 1.091 1.130
0.00800 2.51e+07 3.2000000477    3.200  2.099  4.1496  4.395    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.290e-01 2.630e-01 1.420e-03 3.876e-04 3.521e-03 -1.000 8.000e-03 -0.477 -0.045 0.467 0.587 0.642 0.719 0.896 0.949 0.991
0.00800 2.51e+07 3.4000000954    3.399  2.199  4.1652  4.384    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.290e-01 2.630e-01 1.420e-03 3.876e-04 3.521e-03 -1.000 8.000e-03 -0.726 -0.247 0.302 0.430 0.488 0.569 0.758 0.815 0.859
0.00800 2.51e+07 3.4194006920    3.419  2.208  4.1666  4.382    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.290e-01 2.630e-01 1.420e-03 3.876e-04 3.521e-03 -1.000 8.000e-03 -0.750 -0.265 0.286 0.415 0.474 0.555 0.745 0.802 0.847
